media_id,selected_rank,expected_sha256,source_observed_sha256,artifact_filename,artifact_sha256,size_bytes,shape,dtype
IMG_007379,1,34caa390ab8fc7474c14062f38a73e137121660ba32ba15a3fbfd775873b72f7,34caa390ab8fc7474c14062f38a73e137121660ba32ba15a3fbfd775873b72f7,IMG_007379__r01.npy,34caa390ab8fc7474c14062f38a73e137121660ba32ba15a3fbfd775873b72f7,147584,4x96x96,float32
IMG_007383,1,f1f343338375349779ce3aca02fad69ec568dee00e6889f0fc7ba1c30727e434,f1f343338375349779ce3aca02fad69ec568dee00e6889f0fc7ba1c30727e434,IMG_007383__r01.npy,f1f343338375349779ce3aca02fad69ec568dee00e6889f0fc7ba1c30727e434,147584,4x96x96,float32
IMG_007383,2,f1f343338375349779ce3aca02fad69ec568dee00e6889f0fc7ba1c30727e434,f1f343338375349779ce3aca02fad69ec568dee00e6889f0fc7ba1c30727e434,IMG_007383__r02.npy,f1f343338375349779ce3aca02fad69ec568dee00e6889f0fc7ba1c30727e434,147584,4x96x96,float32
IMG_007384,1,ad747dee730113a9b326a92054e114b5400a68c275351c49066185d1a316a133,ad747dee730113a9b326a92054e114b5400a68c275351c49066185d1a316a133,IMG_007384__r01.npy,ad747dee730113a9b326a92054e114b5400a68c275351c49066185d1a316a133,147584,4x96x96,float32
IMG_007385,1,5028107d346a3c08714027701ca9fa3b6889f298a1c29fe61b59c033add07628,5028107d346a3c08714027701ca9fa3b6889f298a1c29fe61b59c033add07628,IMG_007385__r01.npy,5028107d346a3c08714027701ca9fa3b6889f298a1c29fe61b59c033add07628,147584,4x96x96,float32
IMG_007388,1,aeac65c2e1bc2d3fd24e33dafe7e5b11911c6fac574a71b45d71a87c0f887868,aeac65c2e1bc2d3fd24e33dafe7e5b11911c6fac574a71b45d71a87c0f887868,IMG_007388__r01.npy,aeac65c2e1bc2d3fd24e33dafe7e5b11911c6fac574a71b45d71a87c0f887868,147584,4x96x96,float32
IMG_007389,1,85410502f3b4558a8a42cd97e3d36cf3baa372a2007cfa85453152fbee3f5e21,85410502f3b4558a8a42cd97e3d36cf3baa372a2007cfa85453152fbee3f5e21,IMG_007389__r01.npy,85410502f3b4558a8a42cd97e3d36cf3baa372a2007cfa85453152fbee3f5e21,147584,4x96x96,float32
IMG_007392,1,186f9af32bd13683311ad91e86dbffcdd46d5422f075a62f3b18744a194cf86c,186f9af32bd13683311ad91e86dbffcdd46d5422f075a62f3b18744a194cf86c,IMG_007392__r01.npy,186f9af32bd13683311ad91e86dbffcdd46d5422f075a62f3b18744a194cf86c,147584,4x96x96,float32
IMG_007393,1,52f7b92ac6ccfdad8a0f2b658a7e71e253be13153655e68a34be3cfe09b4f261,52f7b92ac6ccfdad8a0f2b658a7e71e253be13153655e68a34be3cfe09b4f261,IMG_007393__r01.npy,52f7b92ac6ccfdad8a0f2b658a7e71e253be13153655e68a34be3cfe09b4f261,147584,4x96x96,float32
IMG_007394,1,3508155b80d1b8a0c23964c642890ec856ccabb1b26e3d13ea936359e246c5c1,3508155b80d1b8a0c23964c642890ec856ccabb1b26e3d13ea936359e246c5c1,IMG_007394__r01.npy,3508155b80d1b8a0c23964c642890ec856ccabb1b26e3d13ea936359e246c5c1,147584,4x96x96,float32
